1,raining,AFFECT_AVG,-0.120207877
2,really good,AFFECT_AVG,-0.043728245
3,the most,AFFECT_AVG,-0.112770137
4,i wanted,AFFECT_AVG,-0.150825092
5,four,AFFECT_AVG,0.022169966
6,sleep,AFFECT_AVG,-0.188806069
7,hanging,AFFECT_AVG,-0.046127786
8,hate,AFFECT_AVG,-0.699095669
9,why ?,AFFECT_AVG,-0.143970877
10,is getting,AFFECT_AVG,0.032193517
11,bike,AFFECT_AVG,-0.061112836
12,under,AFFECT_AVG,0.061040338
13,wake up,AFFECT_AVG,0.071418179
14,lord,AFFECT_AVG,0.146968269
15,sorry,AFFECT_AVG,-0.21800951
16,all the,AFFECT_AVG,-0.021983702
17,worth,AFFECT_AVG,-0.013971304
18,@,AFFECT_AVG,-0.172842049
19,i wish,AFFECT_AVG,-0.046157613
20,gonna be,AFFECT_AVG,0.152622038
21,is over,AFFECT_AVG,0.127224166
22,every,AFFECT_AVG,0.05465902
23,to work,AFFECT_AVG,0.073620999
24,much better,AFFECT_AVG,0.335955025
25,school,AFFECT_AVG,-0.282988038
26,b-day wishes,AFFECT_AVG,0.039244476
27,pretty good,AFFECT_AVG,0.010419895
28,and paste,AFFECT_AVG,-0.04411234
29,wednesday,AFFECT_AVG,0.099831357
30,math,AFFECT_AVG,-0.094792162
31,heading,AFFECT_AVG,0.064711254
32,enjoy,AFFECT_AVG,0.061998546
33,tired,AFFECT_AVG,-0.267576765
34,second,AFFECT_AVG,-0.04855322
35,street,AFFECT_AVG,-0.03847377
36,now i'm,AFFECT_AVG,-0.139556644
37,needs a,AFFECT_AVG,-0.033889654
38,n,AFFECT_AVG,0.023421895
39,you can't,AFFECT_AVG,-0.039232343
40,even,AFFECT_AVG,0.061421949
41,christ,AFFECT_AVG,-0.070048814
42,my name,AFFECT_AVG,0.037708089
43,we got,AFFECT_AVG,-0.090091529
44,+,AFFECT_AVG,0.11103384
45,fingers,AFFECT_AVG,-0.147751023
46,lights,AFFECT_AVG,0.097393535
47,new,AFFECT_AVG,0.200435917
48,ever,AFFECT_AVG,-0.088105068
49,told,AFFECT_AVG,-0.035713112
50,kicked,AFFECT_AVG,-0.017441777
51,join,AFFECT_AVG,0.150062945
52,never,AFFECT_AVG,-0.087300456
53,here,AFFECT_AVG,-0.042599733
54,met,AFFECT_AVG,-0.012470171
55,100,AFFECT_AVG,0.055978546
56,aren't,AFFECT_AVG,-0.136035746
57,kids,AFFECT_AVG,0.184990424
58,daughter,AFFECT_AVG,0.002896805
59,good night,AFFECT_AVG,-0.226626197
60,"yes ",AFFECT_AVG,0.055896657
61,leaves,AFFECT_AVG,-0.07054979
62,changed,AFFECT_AVG,-0.078331387
63,very happy,AFFECT_AVG,0.118541753
64,i'd,AFFECT_AVG,-0.151971256
65,ako,AFFECT_AVG,0.022482625
66,the weekend,AFFECT_AVG,-0.024761545
67,i'm,AFFECT_AVG,-0.019297482
68,fantastic,AFFECT_AVG,0.073885312
69,feelings,AFFECT_AVG,-0.03302337
70,bro,AFFECT_AVG,0.020004762
71,now im,AFFECT_AVG,-0.114615118
72,hoping,AFFECT_AVG,0.001716215
73,would,AFFECT_AVG,-0.028836257
74,hospital,AFFECT_AVG,-0.175024984
75,had fun,AFFECT_AVG,-0.058237463
76,call,AFFECT_AVG,-0.180139502
77,at work,AFFECT_AVG,0.11498755
78,your status,AFFECT_AVG,0.065530047
79,type,AFFECT_AVG,-0.022510354
80,tell,AFFECT_AVG,-0.074630271
81,thank everyone,AFFECT_AVG,0.005466149
82,holy,AFFECT_AVG,0.147017563
83,relax,AFFECT_AVG,0.081426317
84,haha,AFFECT_AVG,0.216794943
85,hurt,AFFECT_AVG,-0.193461321
86,phone,AFFECT_AVG,-0.112316274
87,warm,AFFECT_AVG,0.1405741
88,90,AFFECT_AVG,-0.161966594
89,hole,AFFECT_AVG,-0.021908006
90,hold,AFFECT_AVG,0.132071319
91,you think,AFFECT_AVG,-0.188846645
92,must,AFFECT_AVG,-0.043420017
